  size (B)          time (µs)        rate (MB/s)
         8               1.16               6.91
        16               1.05              15.18
        32               0.96              33.23
        56               0.89              62.70
        88               0.83             106.20
       136               0.80             170.24
       208               0.80             261.14
       320               0.82             392.40
       488               0.85             574.89
       736               0.93             789.71
      1112               1.13             987.78
      1672               1.29            1293.82
      2512               1.40            1791.03
      3776               1.72            2194.85
      5672               2.56            2213.86
      8512               3.18            2676.31
     12776               3.86            3309.85
     19168               4.91            3907.48
     28760               6.35            4528.93
     43144               8.31            5194.75
     64720              11.28            5737.19
     97088              16.09            6034.18
    145640              23.21            6274.87
    218464              34.15            6398.10
    327704              50.20            6527.94
    491560              73.90            6651.67
    737344             109.54            6731.34
   1106024             162.34            6813.04
   1659040             241.78            6861.77
   2488568             359.98            6912.98
   3732856             465.93            8011.61
   5599288             622.26            8998.37
   8398936             969.97            8658.92
  12598408            2008.42            6272.79
